pool,mode,tf,horizon,opportunities,active_observations,coverage,hit_rate,mean_gross_bps,mean_net_2bps,mean_net_5bps,fixed_clock_mean_net_2bps,new_direction_events,event_mean_gross_bps
QQQ,MOM+CVD,15,60,450,333,0.74,0.43843843843843844,-2.183547293950222,-6.1835472939502205,-12.183547293950221,-4.575824997523164,42,-0.9690282745844492
QQQ,MOM+CVD,30,15,585,366,0.6256410256410256,0.44808743169398907,-0.831786342171094,-4.831786342171093,-10.831786342171094,-3.0229637627942227,26,-0.24389974342974538
QQQ,MOM+CVD,30,30,540,347,0.6425925925925926,0.4438040345821326,-1.2515292382557721,-5.251529238255772,-11.25152923825577,-3.3745937882865795,23,-1.423250219222936
QQQ,MOM+CVD,30,60,450,310,0.6888888888888889,0.4838709677419355,-0.5738262040023593,-4.573826204002359,-10.573826204002359,-3.150858051646069,23,-2.0105148662434753
QQQ,MOM+CVD,60,15,585,453,0.7743589743589744,0.5584988962472406,0.4733798643304821,-3.526620135669518,-9.526620135669518,-2.730869951210755,20,1.515634634517149
QQQ,MOM+CVD,60,30,540,421,0.7796296296296297,0.517814726840855,0.8631638369277138,-3.136836163072286,-9.136836163072285,-2.445570416024875,20,2.85131150390161
QQQ,MOM+CVD,60,60,450,349,0.7755555555555556,0.6017191977077364,1.9937340273163318,-2.0062659726836687,-8.006265972683668,-1.5559707210368898,19,7.959553254721524
SPY,MOM,5,15,585,578,0.9880341880341881,0.4515570934256055,-0.33211546665389935,-4.3321154666538995,-10.3321154666539,-4.280278187565733,76,-0.4122280511429407
SPY,MOM,5,30,540,533,0.987037037037037,0.49343339587242024,-0.01590281175328096,-4.015902811753281,-10.015902811753282,-3.9638448123416645,73,-0.6415036892762616
SPY,MOM,5,60,450,443,0.9844444444444445,0.49435665914221216,0.21190228580564557,-3.788097714194355,-9.788097714194354,-3.729171749751331,61,-0.5121705868826513
SPY,MOM,15,15,585,582,0.9948717948717949,0.3917525773195876,-1.347094774736997,-5.347094774736997,-11.347094774736997,-5.319673775892192,50,-0.05827396180579935
SPY,MOM,15,30,540,537,0.9944444444444445,0.41899441340782123,-1.3032311434009713,-5.303231143400971,-11.303231143400971,-5.2737687481598545,42,0.45539977380786617
SPY,MOM,15,60,450,448,0.9955555555555555,0.40625,-2.0055888461779916,-6.005588846177992,-12.005588846177991,-5.978897340194979,30,-0.1619618786989907
SPY,MOM,30,15,585,584,0.9982905982905983,0.3904109589041096,-1.0961891633710634,-5.096189163371063,-11.096189163371065,-5.087477728903762,34,-0.021137064351714637
SPY,MOM,30,30,540,540,1.0,0.3851851851851852,-1.853445380700244,-5.8534453807002444,-11.853445380700244,-5.8534453807002444,31,-0.22049101848195446
